,Name,Class.Family,chr,start,end
1,AluSx1,SINE/Alu,chr22,10510228,10510528
2,AluSx1,SINE/Alu,chr22,10514779,10515050
3,AluJo,SINE/Alu,chr22,10519674,10519746
4,AluJo,SINE/Alu,chr22,10520951,10521193
5,AluSg,SINE/Alu,chr22,10522329,10522608
6,AluJr,SINE/Alu,chr22,10528507,10528771
7,AluJo,SINE/Alu,chr22,10529447,10529561
8,AluSx,SINE/Alu,chr22,10534558,10534866
9,AluSg,SINE/Alu,chr22,10536053,10536350
10,AluYb8,SINE/Alu,chr22,10536812,10537128
11,AluSq2,SINE/Alu,chr22,10552079,10552351
12,AluJb,SINE/Alu,chr22,10559099,10559379
13,AluSc8,SINE/Alu,chr22,10560618,10560925
14,AluY,SINE/Alu,chr22,10564787,10565069
15,AluSx1,SINE/Alu,chr22,10613340,10613646
16,AluSz,SINE/Alu,chr22,10636254,10636372
17,FLAM_C,SINE/Alu,chr22,10638551,10638682
18,AluJo,SINE/Alu,chr22,10638689,10638977
19,AluSx,SINE/Alu,chr22,10644700,10644993
20,AluSq2,SINE/Alu,chr22,10645366,10645662
21,AluSq,SINE/Alu,chr22,10651262,10651563
22,AluJr,SINE/Alu,chr22,10655795,10655976
23,FRAM,SINE/Alu,chr22,10655979,10656025
24,AluSq2,SINE/Alu,chr22,10656722,10657020
25,AluJb,SINE/Alu,chr22,10658326,10658629
26,FLAM_C,SINE/Alu,chr22,10661730,10661851
27,AluJb,SINE/Alu,chr22,10661968,10662277
28,AluYc3,SINE/Alu,chr22,10662906,10663196
29,AluY,SINE/Alu,chr22,10663599,10663892
30,AluY,SINE/Alu,chr22,10664279,10664586
31,AluJb,SINE/Alu,chr22,10666954,10667057
32,AluYe5,SINE/Alu,chr22,10667058,10667358
33,AluJb,SINE/Alu,chr22,10667359,10667385
34,AluY,SINE/Alu,chr22,10667689,10667896
35,AluJb,SINE/Alu,chr22,10668658,10668819
36,AluJr,SINE/Alu,chr22,10672586,10672744
37,AluYi6,SINE/Alu,chr22,10673620,10673927
38,AluJb,SINE/Alu,chr22,10673985,10674276
39,AluSx3,SINE/Alu,chr22,10675886,10676000
40,AluSz,SINE/Alu,chr22,10676874,10677173
41,AluSz6,SINE/Alu,chr22,10677507,10677558
42,AluSp,SINE/Alu,chr22,10679329,10679633
43,AluJr,SINE/Alu,chr22,10679751,10679886
44,AluY,SINE/Alu,chr22,10692002,10692284
45,AluSq,SINE/Alu,chr22,10701079,10701156
46,AluJo,SINE/Alu,chr22,10701285,10701540
47,AluJr,SINE/Alu,chr22,10708283,10708552
48,AluSx,SINE/Alu,chr22,10710972,10711295
49,AluSq,SINE/Alu,chr22,10730728,10731021
50,FLAM_C,SINE/Alu,chr22,10731112,10731244
51,AluSz6,SINE/Alu,chr22,10731260,10731587
52,AluJo,SINE/Alu,chr22,10733318,10733394
53,AluJo,SINE/Alu,chr22,10733823,10734034
54,AluSx1,SINE/Alu,chr22,10734389,10734675
55,FLAM_C,SINE/Alu,chr22,10736381,10736521
56,FLAM_C,SINE/Alu,chr22,10737031,10737142
57,AluY,SINE/Alu,chr22,10738784,10739109
58,AluSc,SINE/Alu,chr22,10743407,10743532
59,AluSc,SINE/Alu,chr22,10743565,10743735
60,AluJr,SINE/Alu,chr22,10744422,10744593
61,AluSp,SINE/Alu,chr22,10744594,10744890
62,AluJr,SINE/Alu,chr22,10744891,10745041
63,AluSx,SINE/Alu,chr22,10746186,10746492
64,AluJo,SINE/Alu,chr22,10746521,10746610
65,AluSx,SINE/Alu,chr22,10747363,10747631
66,FLAM_C,SINE/Alu,chr22,10749092,10749179
67,AluSx3,SINE/Alu,chr22,10750438,10750747
68,AluY,SINE/Alu,chr22,10754301,10754493
69,AluJb,SINE/Alu,chr22,10755514,10755815
70,AluSg4,SINE/Alu,chr22,10757351,10757504
71,AluSc8,SINE/Alu,chr22,10759358,10759670
72,AluSx1,SINE/Alu,chr22,10760573,10760870
73,AluSz6,SINE/Alu,chr22,10761126,10761431
74,AluSz6,SINE/Alu,chr22,10764832,10765127
75,AluSz,SINE/Alu,chr22,10766882,10767182
76,AluSx,SINE/Alu,chr22,10767374,10767650
77,AluSz,SINE/Alu,chr22,10768910,10769187
78,AluSg7,SINE/Alu,chr22,10769351,10769650
79,AluJb,SINE/Alu,chr22,10772112,10772226
80,AluSz6,SINE/Alu,chr22,10772684,10772974
81,AluSx1,SINE/Alu,chr22,10774476,10774788
82,AluSg,SINE/Alu,chr22,10775086,10775382
83,AluJb,SINE/Alu,chr22,10776050,10776365
84,AluY,SINE/Alu,chr22,10776501,10776797
85,AluSx,SINE/Alu,chr22,10777177,10777189
86,AluY,SINE/Alu,chr22,10777190,10777491
87,AluSx,SINE/Alu,chr22,10777492,10777645
88,AluJb,SINE/Alu,chr22,10777786,10778080
89,AluSx1,SINE/Alu,chr22,10779269,10779556
90,AluJr,SINE/Alu,chr22,10780275,10780563
91,AluSq2,SINE/Alu,chr22,10780759,10781057
92,AluSg,SINE/Alu,chr22,10781087,10781376
93,AluSp,SINE/Alu,chr22,10781396,10781695
94,AluSx1,SINE/Alu,chr22,10781776,10781947
95,AluJo,SINE/Alu,chr22,10781995,10782282
96,AluSx3,SINE/Alu,chr22,10782775,10783071
97,AluSz,SINE/Alu,chr22,10783284,10783439
98,AluY,SINE/Alu,chr22,10783440,10783767
99,AluSz,SINE/Alu,chr22,10783768,10783860
100,AluYk11,SINE/Alu,chr22,10834644,10834705
101,AluJr,SINE/Alu,chr22,10843159,10843444
102,AluJr,SINE/Alu,chr22,10844904,10845202
103,AluSx3,SINE/Alu,chr22,10849726,10849863
104,AluSx3,SINE/Alu,chr22,10862614,10862748
105,AluY,SINE/Alu,chr22,10862749,10863000
106,AluSx3,SINE/Alu,chr22,10863001,10863196
107,AluSz,SINE/Alu,chr22,10865696,10865949
108,AluSq2,SINE/Alu,chr22,10867655,10867935
109,AluSx1,SINE/Alu,chr22,10868436,10868738
110,AluJr,SINE/Alu,chr22,10927363,10927668
111,AluSx1,SINE/Alu,chr22,10933713,10934006
112,AluJo,SINE/Alu,chr22,10936275,10936560
113,AluJo,SINE/Alu,chr22,10936654,10936774
114,AluSz,SINE/Alu,chr22,10940823,10941120
115,AluJo,SINE/Alu,chr22,10941451,10941611
116,AluJr4,SINE/Alu,chr22,10947570,10947860
117,AluJr4,SINE/Alu,chr22,10950506,10950671
118,AluSg7,SINE/Alu,chr22,10950828,10951124
119,AluJr,SINE/Alu,chr22,10953348,10953627
120,AluSx1,SINE/Alu,chr22,10955172,10955481
121,AluY,SINE/Alu,chr22,10957916,10958138
122,AluJb,SINE/Alu,chr22,11017725,11018023
123,AluSx,SINE/Alu,chr22,11024121,11024429
124,AluY,SINE/Alu,chr22,11025143,11025463
125,AluY,SINE/Alu,chr22,11025468,11025765
126,AluSx1,SINE/Alu,chr22,11026007,11026301
127,AluSx1,SINE/Alu,chr22,11026349,11026644
128,AluJb,SINE/Alu,chr22,11026696,11026997
129,AluSg7,SINE/Alu,chr22,11027093,11027402
130,AluSx1,SINE/Alu,chr22,11029191,11029502
131,AluSx1,SINE/Alu,chr22,11029983,11030267
132,AluJr,SINE/Alu,chr22,11030469,11030543
133,AluY,SINE/Alu,chr22,11030544,11030840
134,AluJr,SINE/Alu,chr22,11030841,11030974
135,FLAM_C,SINE/Alu,chr22,11031015,11031095
136,AluJr,SINE/Alu,chr22,11031097,11031310
137,AluSc8,SINE/Alu,chr22,11032486,11032795
138,AluSx3,SINE/Alu,chr22,11032806,11033097
139,AluSx1,SINE/Alu,chr22,11033100,11033396
140,AluSx1,SINE/Alu,chr22,11033546,11033822
141,AluSx1,SINE/Alu,chr22,11033941,11034182
142,AluSc8,SINE/Alu,chr22,11034219,11034495
143,AluSz6,SINE/Alu,chr22,11035249,11035554
144,AluSq,SINE/Alu,chr22,11035715,11035840
145,AluSc8,SINE/Alu,chr22,11035917,11036224
146,AluY,SINE/Alu,chr22,11036306,11036605
147,AluSq,SINE/Alu,chr22,11038259,11038383
148,AluSz,SINE/Alu,chr22,11038707,11039017
149,AluSx1,SINE/Alu,chr22,11039044,11039319
150,AluSx,SINE/Alu,chr22,11039593,11039721
151,AluSx,SINE/Alu,chr22,11039980,11040127
152,AluSg7,SINE/Alu,chr22,11041533,11041829
153,AluJb,SINE/Alu,chr22,11045689,11045986
154,AluY,SINE/Alu,chr22,11048298,11048585
155,AluSx3,SINE/Alu,chr22,11049594,11049884
156,AluSx,SINE/Alu,chr22,11051003,11051278
157,AluJb,SINE/Alu,chr22,11051380,11051691
158,AluSq2,SINE/Alu,chr22,11052016,11052318
159,AluSx,SINE/Alu,chr22,11052772,11053084
160,AluSq2,SINE/Alu,chr22,11053253,11053508
161,AluSx,SINE/Alu,chr22,11054227,11054502
162,AluY,SINE/Alu,chr22,11055444,11055660
163,AluSz,SINE/Alu,chr22,11055664,11055791
164,AluSg4,SINE/Alu,chr22,11056253,11056541
165,AluJr,SINE/Alu,chr22,11056551,11056703
166,AluSg,SINE/Alu,chr22,11056704,11057032
167,AluJr,SINE/Alu,chr22,11057033,11057167
168,AluJb,SINE/Alu,chr22,11057287,11057526
169,AluY,SINE/Alu,chr22,11057527,11057802
170,AluY,SINE/Alu,chr22,11057848,11057866
171,AluSq4,SINE/Alu,chr22,11057885,11058047
172,AluSq2,SINE/Alu,chr22,11058649,11058827
173,AluSq2,SINE/Alu,chr22,11058867,11058984
174,AluJr,SINE/Alu,chr22,11059151,11059424
175,AluSx1,SINE/Alu,chr22,11060777,11061071
176,AluSx,SINE/Alu,chr22,11064188,11064497
177,FLAM_A,SINE/Alu,chr22,11123055,11123147
178,AluSp,SINE/Alu,chr22,11123272,11123411
179,AluSx,SINE/Alu,chr22,11136629,11136805
